geoid,geoid20,year,denom_total_pop,all_crime_count,all_crime_rate,parti_violent_rate,parti_violent_count,parti_property_rate,parti_property_count,partii_rate,partii_count,_merge
1400000US06037106641,6037106641,2022,2197,47,213.92809,9.103323,2,113.79153,25,91.033226,20,Master only (1)
1400000US06037106642,6037106642,2022,3442,76,220.80186,8.7158632,3,133.64323,46,78.442764,27,Master only (1)
1400000US06037106643,6037106643,2022,4306,87,202.04366,2.322341,1,125.40641,54,74.314911,32,Master only (1)
1400000US06037106645,6037106645,2022,3769,85,225.52402,7.959671,3,137.96764,52,79.59671,30,Master only (1)
1400000US06037106646,6037106646,2022,3011,103,342.07904,26.569246,8,172.7001,52,142.80969,43,Master only (1)
1400000US06037106648,6037106648,2022,4581,193,421.30539,32.743942,15,113.51234,52,266.31738,122,Master only (1)
1400000US06037106649,6037106649,2022,2776,67,241.35446,36.023056,10,108.06916,30,93.659943,26,Master only (1)
1400000US06037107010,6037107010,2022,3177,65,204.59554,25.180988,8,75.542969,24,100.72395,32,Master only (1)
1400000US06037107020,6037107020,2022,4610,144,312.36441,19.522776,9,123.64425,57,169.1974,78,Master only (1)
1400000US06037108101,6037108101,2022,2274,43,189.0941,8.7950745,2,131.92612,30,48.37291,11,Master only (1)
1400000US06037108102,6037108102,2022,3596,107,297.55283,5.5617352,2,191.87987,69,97.330368,35,Master only (1)
1400000US06037108103,6037108103,2022,2968,79,266.17252,0,0,148.24799,44,117.92453,35,Master only (1)
1400000US06037108104,6037108104,2022,1738,45,258.9183,11.50748,2,149.59724,26,97.813576,17,Master only (1)
1400000US06037108202,6037108202,2022,9302,180,193.50677,7.5252633,7,110.72887,103,75.252632,70,Master only (1)
1400000US06037108203,6037108203,2022,3170,20,63.091484,3.1545742,1,6.3091483,2,53.627762,17,Master only (1)
1400000US06037108204,6037108204,2022,1780,128,719.10114,44.943821,8,483.14606,86,191.01123,34,Master only (1)
1400000US06037109100,6037109100,2022,2675,209,781.30841,67.289719,18,284.11215,76,426.16821,114,Master only (1)
1400000US06037109200,6037109200,2022,3161,131,414.42581,18.981335,6,208.79468,66,186.6498,59,Master only (1)
1400000US06037109300,6037109300,2022,2864,58,202.51396,24.441341,7,87.290504,25,90.78212,26,Master only (1)
1400000US06037109400,6037109400,2022,4175,85,203.59282,16.766466,7,86.227547,36,100.5988,42,Master only (1)
1400000US06037109601,6037109601,2022,4831,153,316.70462,16.559719,8,175.94701,85,124.19789,60,Master only (1)
1400000US06037109603,6037109603,2022,3900,139,356.41025,15.384615,6,161.53847,63,174.35898,68,Master only (1)
1400000US06037109604,6037109604,2022,2900,256,882.75861,100,29,486.20691,141,293.10345,85,Master only (1)
1400000US06037109700,6037109700,2022,4333,164,378.49066,27.694439,12,168.4745,73,182.32172,79,Master only (1)
1400000US06037109800,6037109800,2022,4584,158,344.67712,13.089005,6,215.96858,99,115.61954,53,Master only (1)
1400000US06037111100,6037111100,2022,3076,107,347.85437,22.756826,7,169.05072,52,152.79584,47,Master only (1)
1400000US06037111201,6037111201,2022,3256,201,617.32184,24.570024,8,442.26044,144,141.27763,46,Master only (1)
1400000US06037111202,6037111202,2022,5670,246,433.86243,40.564373,23,231.04056,131,162.25749,92,Master only (1)
1400000US06037111204,6037111204,2022,5600,111,198.21428,8.9285717,5,103.57143,58,85.714287,48,Master only (1)
1400000US06037111205,6037111205,2022,3879,119,306.78009,23.201857,9,105.69734,41,177.88089,69,Master only (1)
1400000US06037111206,6037111206,2022,4363,193,442.35617,16.044006,7,226.9081,99,199.40408,87,Master only (1)
1400000US06037111302,6037111302,2022,4880,172,352.45901,16.393442,8,168.03279,82,168.03279,82,Master only (1)
1400000US06037111303,6037111303,2022,4712,158,335.31409,23.344652,11,152.80136,72,159.16808,75,Master only (1)
1400000US06037111304,6037111304,2022,3106,102,328.39664,35.415325,11,154.5396,48,138.44173,43,Master only (1)
1400000US06037111401,6037111401,2022,2293,132,575.66504,61.055386,14,300.91583,69,213.69385,49,Master only (1)
1400000US06037111402,6037111402,2022,6146,184,299.38171,21.151968,13,133.4201,82,144.80963,89,Master only (1)
1400000US06037113101,6037113101,2022,3525,166,470.922,42.553192,15,204.25533,72,221.2766,78,Master only (1)
1400000US06037113102,6037113102,2022,2784,103,369.97125,25.143679,7,201.14943,56,143.67816,40,Master only (1)
1400000US06037113211,6037113211,2022,4248,101,237.75894,9.4161959,4,98.870056,42,129.47269,55,Master only (1)
1400000US06037113212,6037113212,2022,2888,134,463.98892,55.401661,16,183.51801,53,221.60664,64,Master only (1)
1400000US06037113213,6037113213,2022,5087,211,414.78278,27.521132,14,169.05838,86,218.20326,111,Master only (1)
1400000US06037113231,6037113231,2022,2161,65,300.78668,23.137436,5,134.19713,29,143.4521,31,Master only (1)
1400000US06037113232,6037113232,2022,4596,172,374.23846,39.16449,18,176.2402,81,158.83377,73,Master only (1)
1400000US06037113234,6037113234,2022,5653,258,456.39484,56.607113,32,168.05237,95,231.73537,131,Master only (1)
1400000US06037113235,6037113235,2022,1727,19,110.01737,11.580776,2,34.742329,6,63.694267,11,Master only (1)
1400000US06037113237,6037113237,2022,4725,249,526.98413,52.910053,25,220.10582,104,253.96825,120,Master only (1)
1400000US06037113238,6037113238,2022,4547,156,343.08334,54.981308,25,94.567848,43,191.33495,87,Master only (1)
1400000US06037113239,6037113239,2022,2343,85,362.78275,34.14426,8,123.77294,29,204.86555,48,Master only (1)
1400000US06037113301,6037113301,2022,4830,614,1271.2216,93.167702,45,826.08698,399,343.6853,166,Master only (1)
1400000US06037113303,6037113303,2022,3774,318,842.6073,58.293587,22,416.00424,157,368.30948,139,Master only (1)
1400000US06037113322,6037113322,2022,4584,150,327.22513,15.270506,7,128.70856,59,183.24608,84,Master only (1)
1400000US06037113323,6037113323,2022,3619,299,826.19507,80.132637,29,339.87289,123,400.66318,145,Master only (1)
1400000US06037113324,6037113324,2022,2771,26,93.828941,3.6088054,1,50.523277,14,39.696861,11,Master only (1)
1400000US06037113423,6037113423,2022,3077,92,298.99252,38.999023,12,123.49691,38,136.49658,42,Master only (1)
